NOTES:,,,,,
CV_UN,oil_or_gas_type,well_type_number,usgs_province_num,basin_usgs,ch4_emission_factor
UNCONVENTIONAL,SHALE GAS,5,32,SIOUX ARCH,0.0002692
UNCONVENTIONAL,SHALE GAS,5,33,POWDER RIVER BASIN,3.25E-07
UNCONVENTIONAL,SHALE GAS,5,34,BIG HORN BASIN,7.49E-08
UNCONVENTIONAL,SHALE GAS,5,36,WYOMING THRUST BELT,7.49E-08
UNCONVENTIONAL,SHALE GAS,5,38,PARK BASINS,7.49E-08
UNCONVENTIONAL,SHALE GAS,5,40,LAS ANIMAS ARCH,7.49E-08
UNCONVENTIONAL,SHALE GAS,5,42,PEDERNAL UPLIFT,0.0002692
UNCONVENTIONAL,SHALE GAS,5,43,PALO DURO BASIN,8.53E-06
UNCONVENTIONAL,SHALE GAS,5,44,PERMIAN BASIN,9.10E-06
UNCONVENTIONAL,SHALE GAS,5,45,BEND ARCH - FORT WORTH BASIN,6.23E-06
UNCONVENTIONAL,SHALE GAS,5,46,MARATHON THRUST BELT,0.0002692
UNCONVENTIONAL,SHALE GAS,5,47,WESTERN GULF,7.63E-06
UNCONVENTIONAL,SHALE GAS,5,48,EAST TEXAS BASIN,4.71E-07
UNCONVENTIONAL,SHALE GAS,5,49,LOUISIANA-MISSISSIPPI SALT BASINS,8.58E-07
UNCONVENTIONAL,SHALE GAS,5,50,FLORIDA PENINSULA,3.43E-06
UNCONVENTIONAL,SHALE GAS,5,51,SUPERIOR,0.0002692
UNCONVENTIONAL,SHALE GAS,5,52,IOWA SHELF,0.0002692
UNCONVENTIONAL,SHALE GAS,5,53,CAMBRIDGE ARCH-CENTRAL KANSAS UPLIFT,8.53E-06
UNCONVENTIONAL,SHALE GAS,5,54,SALINA BASIN,8.53E-06
UNCONVENTIONAL,SHALE GAS,5,55,NEMAHA UPLIFT,8.53E-06
UNCONVENTIONAL,SHALE GAS,5,56,FOREST CITY BASIN,8.53E-06
UNCONVENTIONAL,SHALE GAS,5,57,OZARK UPLIFT,0.0002692
UNCONVENTIONAL,SHALE GAS,5,58,ANADARKO BASIN,0.0000107
UNCONVENTIONAL,SHALE GAS,5,59,SEDGWICK BASIN,8.53E-06
UNCONVENTIONAL,SHALE GAS,5,61,SOUTHERN OKLAHOMA,8.25E-06
UNCONVENTIONAL,SHALE GAS,5,62,ARKOMA BASIN,3.92E-06
UNCONVENTIONAL,SHALE GAS,5,63,MICHIGAN BASIN,0.0000104
UNCONVENTIONAL,SHALE GAS,5,64,ILLINOIS BASIN,0.0000104
UNCONVENTIONAL,SHALE GAS,5,65,BLACK WARRIOR BASIN,3.43E-06
UNCONVENTIONAL,SHALE GAS,5,66,CINCINNATI ARCH,0.0000104
UNCONVENTIONAL,SHALE GAS,5,67,APPALACHIAN BASIN,0.0000105
UNCONVENTIONAL,SHALE GAS,5,68,BLUE RIDGE THRUST BELT,0.0002692
UNCONVENTIONAL,SHALE GAS,5,69,PIEDMONT,0.0002692
UNCONVENTIONAL,SHALE GAS,5,70,ATLANTIC COASTAL PLAIN,0.0002692
UNCONVENTIONAL,SHALE GAS,5,71,ADIRONDACK UPLIFT,0.0002692
UNCONVENTIONAL,SHALE GAS,5,72,NEW ENGLAND,0.0002692
UNCONVENTIONAL,COAL SEAM,6,1,NORTHERN ALASKA,0.000025
UNCONVENTIONAL,COAL SEAM,6,2,CENTRAL ALASKA,0.000025
UNCONVENTIONAL,COAL SEAM,6,3,SOUTHERN ALASKA,0.000025
UNCONVENTIONAL,COAL SEAM,6,4,WESTERN OREGON-WASHINGTON,0.000025
UNCONVENTIONAL,COAL SEAM,6,5,EASTERN OREGON - WASHINGTON,0.000025
UNCONVENTIONAL,COAL SEAM,6,6,KLAMATH - SIERRA NEVADA,0.000025
UNCONVENTIONAL,COAL SEAM,6,7,NORTHERN COASTAL,0.000025
UNCONVENTIONAL,COAL SEAM,6,8,SONOMA - LIVERMORE BASIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,9,SACRAMENTO BASIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,10,SAN JOAQUIN BASIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,11,CENTRAL COASTAL,0.000025
UNCONVENTIONAL,COAL SEAM,6,12,SANTA MARIA BASIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,13,VENTURA BASIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,14,LOS ANGELES BASIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,15,SAN DIEGO - OCEANSIDE,0.000025
UNCONVENTIONAL,COAL SEAM,6,16,SALTON TROUGH,0.000025
UNCONVENTIONAL,COAL SEAM,6,17,IDAHO-SNAKE RIVER DOWNWARP,0.000025
UNCONVENTIONAL,COAL SEAM,6,18,WESTERN GREAT BASIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,19,EASTERN GREAT BASIN,2.10E-07
UNCONVENTIONAL,COAL SEAM,6,21,PARADOX BASIN,2.10E-07
UNCONVENTIONAL,COAL SEAM,6,22,SAN JUAN BASIN,1.73E-06
UNCONVENTIONAL,COAL SEAM,6,23,ALBUQUERQUE - SANTA FE RIFT,0.000025
UNCONVENTIONAL,COAL SEAM,6,24,NORTHERN ARIZONA,2.10E-07
UNCONVENTIONAL,COAL SEAM,6,25,SOUTHERN ARIZONA-SOUTHWESTERN NEW MEXICO,0.000025
UNCONVENTIONAL,COAL SEAM,6,26,SOUTH-CENTRAL NEW MEXICO,0.000025
UNCONVENTIONAL,COAL SEAM,6,32,SIOUX ARCH,0.000025
UNCONVENTIONAL,COAL SEAM,6,34,BIG HORN BASIN,2.10E-07
UNCONVENTIONAL,COAL SEAM,6,36,WYOMING THRUST BELT,2.10E-07
UNCONVENTIONAL,COAL SEAM,6,38,PARK BASINS,2.10E-07
UNCONVENTIONAL,COAL SEAM,6,40,LAS ANIMAS ARCH,2.10E-07
UNCONVENTIONAL,COAL SEAM,6,41,RATON BASIN-SIERRA GRANDE UPLIFT,0.000113
UNCONVENTIONAL,COAL SEAM,6,42,PEDERNAL UPLIFT,0.000025
UNCONVENTIONAL,COAL SEAM,6,46,MARATHON THRUST BELT,0.000025
UNCONVENTIONAL,COAL SEAM,6,51,SUPERIOR,0.000025
UNCONVENTIONAL,COAL SEAM,6,52,IOWA SHELF,0.000025
UNCONVENTIONAL,COAL SEAM,6,57,OZARK UPLIFT,0.000025
UNCONVENTIONAL,COAL SEAM,6,63,MICHIGAN BASIN,1.42E-08
UNCONVENTIONAL,COAL SEAM,6,64,ILLINOIS BASIN,1.42E-08
UNCONVENTIONAL,COAL SEAM,6,66,CINCINNATI ARCH,1.42E-08
UNCONVENTIONAL,COAL SEAM,6,67,APPALACHIAN BASIN,1.43E-08
UNCONVENTIONAL,COAL SEAM,6,68,BLUE RIDGE THRUST BELT,0.000025
UNCONVENTIONAL,COAL SEAM,6,69,PIEDMONT,0.000025
UNCONVENTIONAL,COAL SEAM,6,70,ATLANTIC COASTAL PLAIN,0.000025
UNCONVENTIONAL,COAL SEAM,6,71,ADIRONDACK UPLIFT,0.000025
UNCONVENTIONAL,COAL SEAM,6,72,NEW ENGLAND,0.000025
