,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
EXICP_WSC,,,,,,334.43975613,345.19098864,325.89274483,336.16422623,359.98459623,350.85451377,331.06185769,334.44067682,342.10618407,350.17863151,361.20149546,363.39415373,370.86769542,382.68339306,398.48242345,402.69030749,425.24095184,444.4441211,451.21307995,441.57838948,450.11727687,429.78753401,443.00545758,443.96504378,438.31455473,428.6517014,452.24672603,463.38724384,451.46033071,415.0351591,437.99428504,452.02753707,432.74239074,455.48693978,488.52880553,491.43282748,501.51543148,527.21305493,542.87587945,569.41324121,542.38156281,573.91650145,613.1678906,654.10432879,706.89641801,738.5764962,816.61374027,916.62135041
EXICPUS,1.8840538411,2.0602974672,2.1535263727,2.2166520548,2.3065835616,2.2269590164,2.2623108193,2.0409565013,2.1260254357,2.2891697431,2.2925260191,2.2754260355,2.3513230657,2.4494484071,2.536051148,2.5904703973,2.5933791534,2.6576884973,2.6771623287,2.7615924521,2.7745023287,2.8241294345,2.8443750439,2.8800085343,2.8992235836,2.9077579072,2.7304364658,2.7129798109,2.7736253343,2.7810096503,2.7922083971,2.770678263,2.8159778765,2.7582409237,2.5134697752,2.6608799709,2.715933052,2.6932072514,2.6995941752,2.7330853092,2.7027609094,2.668620713,2.6967066986,2.7415686384,2.7461721892,2.6204426994,2.7414068219,2.7957917428,2.7650839293,2.8267327586,2.9048944932,3.0007851644,3.1296352959
EXRCH_ENC,,,,,,,,,,,,,,,,8183.9414375,8733.6801149,8146.0684933,8627.7640546,8594.079586,8985.7250854,8907.6684805,8682.4990415,8896.2264444,9128.6201087,9013.8736328,9198.074708,9742.4272203,9403.2582574,9364.4220143,10046.39628,9574.8641653,9959.7610694,9719.7086576,9346.3781209,9989.6052211,9796.4787879,9632.7168748,9568.740594,9533.104327,9249.9124997,9424.1127807,8936.6959008,9603.124149,9177.5993586,9310.3490557,9342.0358208,9260.3360264,8616.9996602,8858.5242348,9025.3905481,8854.9939,8811.5553
EXRCH_ESC,,,,,,,,,,,,,,,,12860.007362,13225.510944,12856.807515,13330.310806,13669.281821,13551.737518,14450.0901,13656.924853,14390.769288,14170.856835,14610.448715,14311.307963,15004.145131,14552.852603,14653.726427,15251.899339,15056.881275,15481.471235,15068.400828,14570.787233,16205.814454,15266.625597,14215.045024,14522.037254,14980.684107,14457.186165,14381.329614,13442.600311,14849.873776,14236.149768,13634.37294,13760.758936,13955.749599,13086.713213,13516.618564,13765.895604,13495.9825,13431.1352
EXRCH_HAK,,,,,,,,,,,,,,,,7776.183336,7671.0316909,7687.6373245,7595.0803959,7692.651333,7695.5369383,8128.5052015,7676.9835589,7579.7726575,7708.4635784,7713.4655461,7699.1900657,7848.376057,7925.1660851,8154.891689,8017.4118743,7996.8843181,7902.4985169,7686.2336181,7578.0096075,7403.5626192,7323.252529,7049.4896362,6735.9184312,6548.784167,6593.5383881,6466.1516328,6526.1825678,6473.7154475,6442.6862999,6521.5370545,6669.9634368,6491.8678616,6389.906155,6339.3157382,6401.9888641,6382.0112,6309.3774
EXRCH_MAC,,,,,,,,,,,,,,,,7046.3360657,7219.6044408,7037.8289644,7331.2844401,7359.5995404,7353.444881,7414.7564148,7271.1003113,7227.7638719,7560.7015785,7591.7755634,7357.3821954,7774.7913438,8146.9406454,8278.5581528,8778.5989033,8370.2550068,8662.9307291,8508.1562758,8277.4999276,8720.1729498,8629.2411646,8407.6417863,8474.5196957,8354.7515584,8478.4298343,8380.9904283,8016.8117999,8519.2402194,8193.2730113,8416.6767614,8435.3734112,8392.9433883,7881.1904993,8077.8600457,8075.2836021,8108.7131,8110.7696
EXRCH_MTN,,,,,,,,,,,,,,,,9152.3101992,9262.6699349,9174.0951067,9372.2428043,9558.7208522,9290.1351343,9698.468413,9680.6522009,9622.5669626,9700.110078,10149.073546,10166.057875,10165.054547,10264.441453,10172.056193,10229.368156,10618.92088,10899.443759,10583.911343,10534.543488,10464.240606,10549.775506,10484.537927,10515.859431,10109.663208,10133.549193,10179.820041,10094.421847,10209.308542,10051.469116,10693.199381,10423.353845,10507.104231,10224.243557,10382.727717,10079.281444,10244.7682,10220.1313
EXRCH_NEC,,,,,,,,,,,,,,,,7054.9325104,6938.1621688,6968.6338237,7007.3587451,7035.9030036,6917.5253469,6977.0663181,6891.0824063,6861.3810164,7172.9693529,7144.3760043,7286.0545069,7522.5352031,7877.3402548,7845.0547292,8105.8948126,7676.5184539,7793.6077722,7556.8940523,7479.0047136,7883.3509834,7670.9489451,7609.5763189,7774.3934247,7562.301675,7509.5944426,7397.3322146,7233.2251945,7541.9009939,7201.5415042,7495.0160399,7480.4373148,7380.5945235,7092.1954498,7217.7012313,7356.765061,7429.6676,7432.1961
EXRCH_PAC,,,,,,,,,,,,,,,,8108.80475,8004.4737462,7940.6409789,8086.1097452,8014.7619348,7941.6844117,8214.8260454,8198.1589644,8232.4728003,8281.2802597,8724.9896497,7980.9143238,7977.023227,8183.5825484,8159.2209334,8220.1745768,8441.2080732,8383.4638017,8501.3119498,8439.5268296,8102.5389481,8252.4024067,8210.2029768,8126.8416943,8022.3261077,7867.8788553,7779.2228516,8053.3835815,7784.0999696,7706.7173371,8059.4374673,7857.5863679,7879.6479045,7395.9519113,7414.6108984,7287.9788476,7447.1794,7410.1377
EXRCH_SAC,,,,,,,,,,,,,,,,11741.136272,11928.270593,11754.305762,12435.355254,12242.937307,12709.632644,12962.163241,12448.187771,13089.695591,12868.535026,13271.098691,13056.620342,13741.419328,13717.849769,13849.253073,14044.203978,13649.525839,13875.788702,13497.103882,13478.039416,14549.522495,13704.278801,12943.005753,13061.843804,13404.218247,13411.28132,13281.255645,12658.900457,13386.898033,13077.639001,12952.948566,12815.212141,12932.551932,12316.038791,12571.719814,12580.304594,12379.6926,12283.6611
EXRCH_US,,,,,,,,,,,,,,,,9516.6931786,9719.8465346,9405.2168682,9862.9795533,9856.072554,10032.02884,10276.06673,10048.794389,10363.377296,10372.25478,10673.74618,10458.735164,10848.548881,10878.399365,10878.583593,11255.528847,11035.422691,11232.286725,11041.948694,10899.860106,11499.63476,11279.264654,10837.264863,10915.992497,10935.693939,10816.412202,10765.788847,10398.636805,10972.124348,10649.118095,10715.430576,10631.922288,10791.484686,10263.294981,10359.308316,10434.169474,10389.9819,10339.9983
EXRCH_WNC,,,,,,,,,,,,,,,,9545.881313,10033.965144,9142.8331182,9937.0185874,9888.3804542,10217.245312,10389.504485,10257.856169,10536.886851,10319.774675,10714.586615,10830.08625,11168.94989,10964.134286,10755.474582,11476.669058,11285.712141,11645.802269,11493.836826,11299.589456,11929.451582,11733.425412,11301.394794,11626.625419,11607.654781,10946.315716,11005.980217,10663.16508,11570.955598,11138.180491,11061.059044,11065.147589,11394.799992,10828.394369,10588.213302,11032.65522,11059.7852,11107.3477
EXRCH_WSC,,,,,,,,,,,,,,,,12388.1105,12467.045483,11881.007205,12587.748818,12592.161908,12851.982439,13340.756067,13268.762018,14260.054396,13629.680015,14291.296899,13865.654769,13959.077368,14137.60785,13905.69592,14269.13103,13975.82895,13785.879062,13707.511032,13765.289552,14679.77876,15133.131851,14055.929795,14161.811219,14066.124607,14122.617129,13845.576731,13278.046003,14200.708263,13765.564638,13545.370006,13267.112807,14120.425639,13694.701265,13236.423577,13476.462352,13411.1947,13244.4745
EXRCP_ENC,,,,,,325.41448241,314.81720917,315.73058598,328.25877739,327.27186468,326.60314105,343.80705328,357.26759665,377.07175744,369.47063177,368.71375935,397.90988772,373.31865011,400.81523623,403.77766609,427.98986425,427.67558753,423.78626039,440.4718892,452.68524499,453.32728431,469.33652481,502.39217527,489.15535627,489.70139615,533.36664658,510.80753962,533.69371504,520.34125686,500.14502482,534.50942756,524.97942214,515.4116232,515.19465197,514.95468499,501.78889849,513.3815821,491.16443036,531.02753422,510.10047682,519.97625366,526.54350132,525.40495367,491.84960556,507.09072951,522.30350745,515.29989808,514.83162795
EXRCP_ESC,,,,,,129.40780032,173.85142819,173.69115169,176.25543827,181.98288726,183.36748594,199.86344179,205.59441148,211.90635288,208.18568356,215.21109576,224.81763427,220.88016388,233.56483124,244.04559032,246.57520075,265.76080614,257.76753461,276.78227866,277.64354138,289.46568291,288.46009563,306.75197793,299.96359721,304.37531421,321.50092871,321.41903833,334.88559997,327.83175142,318.95940277,356.25113156,335.9039506,312.7740629,322.01396167,333.67044104,324.12365759,324.11693716,306.30183849,341.05640005,329.53359745,317.88492082,327.20521101,335.02910422,317.41675896,331.70897262,342.31536656,338.94811589,340.13366438
EXRCP_HAK,,,,,,8.7633729162,8.5828276526,8.8495324173,9.0144980308,9.0157548368,9.1181711658,8.7414982224,8.7191994648,9.8680360965,10.665756558,10.919529686,10.955263064,11.143986463,11.226069845,11.630466861,11.833269023,12.662101246,12.039298011,12.105063066,12.479833581,12.621737563,12.860115369,13.234512272,13.738720521,14.273489098,14.317032849,14.527906877,14.562139699,14.248765082,14.171687671,13.92524937,13.871684877,13.386595601,12.911832904,12.677764356,12.837041178,12.617811557,12.849391918,12.837271315,12.843786384,13.492240519,13.449296,13.147811014,12.996789014,12.902152978,13.063767507,13.074069288,12.970935534
EXRCP_MAC,,,,,,216.09377506,213.57756462,211.97295404,220.73841661,225.50889576,224.89233716,237.31398181,248.20869631,262.63286765,267.813521,266.41358826,274.83924463,269.16628757,283.27209348,286.29501552,288.1089979,291.1040459,287.86407649,287.70327955,305.74866113,307.57186765,317.14211635,335.22838357,340.09318907,344.43275956,367.58292879,352.98197803,368.7120849,361.21512298,353.38295888,373.98836449,371.05233438,361.28557921,365.95576447,361.8159754,368.69504389,365.57142904,352.23872337,376.93256981,364.79380822,374.97566672,378.60939449,380.00773468,358.50896449,368.36856016,371.59112605,374.81094767,376.02749534
EXRCP_MTN,,,,,,98.884317239,100.76432749,106.3249709,109.26546126,116.75285359,121.36772852,118.26173203,125.07665458,129.95226135,132.62664011,134.85537911,139.44908984,140.97062429,147.94652737,155.44774199,155.98371053,167.71738967,173.57176,178.40629324,184.7000086,198.76616692,205.22493985,211.05432616,218.8680383,223.26115301,234.76904381,247.83010679,260.47404096,257.13230893,255.97864132,255.77706044,259.65847405,259.21398645,263.98878107,256.95326589,260.83880556,265.04168333,269.96126307,274.82619474,275.22695904,296.64109582,295.68564677,303.45708784,300.44303844,309.92771306,306.11800887,315.16069123,318.32268795
EXRCP_NEC,,,,,,80.863591904,79.880483272,80.877515227,83.42676117,86.709209095,87.155400709,89.942214535,95.984120022,102.10402098,103.85240541,102.79887125,101.77637607,102.75029709,104.26483295,105.57873644,104.63367346,105.97161022,105.86888843,106.44680715,112.3928834,112.84528235,116.05141783,120.79124385,126.71098904,127.60277314,133.4277589,127.37047671,130.73168496,126.47438811,125.73403564,133.08856715,130.08468778,128.98277601,132.51883847,129.34664378,130.08732605,127.13681694,125.61381373,131.77883022,126.5022386,132.04283074,133.14409882,132.74460285,127.84727668,131.21573773,135.09143078,137.22913644,137.9773463
EXRCP_PAC,,,,,,257.61092991,257.18522988,258.27544235,256.86368038,270.2958805,276.61224208,267.90481248,275.11453622,286.96793094,295.58421562,303.48523623,306.47568554,305.364682,315.0251988,315.07669447,315.73891791,329.71349022,334.33466852,339.51013295,345.7129122,356.51897755,344.60090262,347.45830409,363.10549041,365.61923779,375.78471775,392.47093978,394.30602195,402.94128156,401.01722748,386.30832342,395.07872334,394.74211754,396.03829592,391.94863288,388.29415614,385.5083579,404.03379734,392.79327663,392.66463833,413.71959566,407.09786849,411.07933142,389.60433978,394.11215574,391.06730163,401.77298247,401.77330055
EXRCP_SAC,,,,,,406.83395197,411.07237701,406.62900986,424.51264141,438.20688106,455.86666126,486.68355063,512.08827357,536.56894958,565.52077912,579.13598571,598.64875684,599.36505763,647.95713191,651.47859281,690.76181378,715.67775866,703.07917023,754.54373956,758.09777333,797.25708401,804.69496498,864.40161103,878.24816173,902.46951087,938.04020274,931.15232868,963.20026595,942.21117503,948.02291526,1028.795181,971.10873718,920.10034973,939.59510962,974.54178912,984.26745759,987.50228962,956.95981121,1025.0273371,1014.8764879,1018.3147023,1026.7013591,1051.4144879,1015.3266796,1053.6022787,1070.6765508,1064.5785874,1066.8662625
EXRCP_US,,,,,,1960.3688525,1978.8082876,1998.6842961,2057.3924218,2131.3979781,2175.1612273,2244.0775753,2329.8910987,2439.5249754,2480.8894083,2531.5580796,2617.5817808,2557.2098032,2725.4268987,2762.9635122,2856.1684136,2957.6823742,2947.616685,3096.1893753,3136.7755288,3258.0505218,3292.0728576,3466.2462164,3495.4079727,3530.0043115,3723.9098821,3702.794619,3814.3588933,3772.2998507,3739.0634337,3960.8449408,3898.0851873,3755.504667,3821.4030939,3855.3652359,3846.839723,3855.3501455,3777.1171025,4024.9124911,3945.9970121,4001.6531315,4028.7311844,4134.8853771,3972.6717375,4051.5671745,4132.4645078,4148.2806082,4158.0629425
EXRCP_WNC,,,,,,166.05733757,154.987934,160.05403975,173.62833547,176.79580605,177.54588826,175.567398,180.00909502,189.01653336,186.71510296,189.47261521,201.11890052,185.05566361,203.87084083,205.54729918,215.41852467,220.13812934,221.95673762,230.80066242,228.81066611,240.23997272,245.91230009,257.95601646,256.79183019,254.13940448,274.54776995,273.51786036,286.19294255,283.45016945,278.67022751,295.29710145,291.18102479,280.87205178,291.2651234,292.90072337,278.41024337,281.0382762,275.42289318,301.07290433,292.04226855,291.46854645,295.2338714,306.51540578,294.16069041,289.80963913,305.8055326,309.06130575,312.47319562
EXRCP_WSC,,,,,,270.43929316,264.08890631,276.27909387,275.42841185,298.85794526,312.63217119,315.99189251,321.82851534,333.43626511,340.45467223,360.55201906,361.59094234,349.19439059,377.48413603,384.08570854,399.12444135,421.26145526,427.34829066,469.41922949,458.50400405,489.43646583,487.7894801,506.97766574,508.7326,504.12927317,530.57285205,530.71644381,527.60039734,536.45363123,542.98131238,582.90453436,605.16614811,568.73552464,581.92073444,586.5553151,597.49709312,593.43496164,582.57113984,637.56017268,627.41275074,623.1372788,625.06093707,676.0848577,664.51759455,652.82923508,674.43192023,678.34497699,676.68622055
EXRCPUS,1.6113435424,1.6569729018,1.7677780029,1.8478520547,1.8707369863,1.9603688525,1.9788082876,1.9986842961,2.0573924218,2.1313979781,2.1751612273,2.2440775753,2.3298910987,2.4395249754,2.4808894083,2.5315580796,2.6175817808,2.5572098032,2.7254268987,2.7629635122,2.8561684136,2.9576823742,2.947616685,3.0961893753,3.1367755288,3.2580505218,3.2920728576,3.4662462164,3.4954079725,3.5300043115,3.7239098821,3.7027946191,3.8143588932,3.7722998496,3.7390634329,3.9608449396,3.8980851863,3.7555046667,3.821403093,3.8553652355,3.8468397226,3.8553501448,3.7771171017,4.0249124902,3.9459970111,4.0016531305,4.0287311836,4.1348853762,3.9726717367,4.0515671745,4.1324645078,4.1482806082,4.1580629425
EXTCP_ENC,,,,,,1026.219433,1022.9221747,969.02242863,1017.7362665,1092.6221173,1117.915072,1115.6885371,1171.7102681,1212.3989505,1248.9390005,1259.1607167,1301.6793215,1282.2012172,1339.8151556,1386.9703429,1437.0744959,1444.65634,1459.75803,1506.9381664,1537.5845375,1550.7670607,1526.5564477,1547.9336356,1548.1011216,1560.5220847,1623.2648685,1587.3413342,1637.9292548,1603.5314921,1497.8288387,1581.6495975,1581.1375211,1570.5152269,1560.9908001,1567.0448168,1543.9083996,1556.1671615,1517.2172989,1576.9682277,1532.4724387,1466.3947705,1513.3880575,1523.0982494,1477.7182088,1512.1211138,1564.9232138,1595.317337,1643.5580219
EXTCP_ESC,,,,,,455.19983408,528.28666841,491.99285527,504.38525086,510.72436646,501.2652597,552.04428194,564.99093897,584.68602421,604.45190644,630.9370707,648.84431773,658.62116185,678.87691256,710.20317218,724.52863442,759.04211973,764.48477473,798.5793686,812.73486253,827.58643893,821.23373836,860.325452,854.97337954,871.81660661,899.61526293,904.90222197,929.04843559,915.37351653,856.71330696,925.04321658,900.28656721,874.31744549,872.16973732,873.86441384,858.10358923,854.06371328,832.72544953,877.23929597,855.39895926,810.60637175,843.11959751,858.78868803,831.70177285,856.76461754,878.68075614,872.59312301,872.69115616
EXTCP_HAK,,,,,,25.942542189,26.006114789,26.534117247,27.394847801,27.766176925,28.297029405,28.946387377,28.970262531,31.606128934,33.03036552,34.423928402,35.013817845,35.53575002,35.704953414,36.936569634,37.861511477,39.974653546,38.985801291,39.650967846,40.202969835,40.986412875,41.749108487,42.074320436,43.711008247,45.136623033,45.072550658,45.890967178,46.333997178,45.672740574,44.921523315,44.557663151,44.606008219,43.867672158,43.209249342,42.850038493,42.933030247,42.537133989,42.493150822,41.944186356,41.840252274,40.203109481,40.837865945,41.208753452,40.963972548,40.979882514,41.509261342,41.446681178,41.119788329
EXTCP_MAC,,,,,,695.86056351,701.79697115,677.42575865,699.4341224,726.82673833,735.01487929,756.90056755,781.32736342,825.71178114,841.50397221,840.91936668,850.50035968,841.21756168,865.12788442,878.02938797,886.23588618,891.4371926,893.76765972,898.86720727,928.67400903,944.96920106,966.10509453,991.4044,988.35294277,1000.4818825,1041.9652685,1008.4091014,1045.7118,1024.5165877,985.10050704,1021.2793673,1012.777003,991.59921041,1010.3870933,1008.0155948,1015.7460414,1006.8035329,990.04457282,1027.1872439,1000.266937,962.09205202,980.36821438,993.69271562,956.79415638,973.15693721,991.10986319,1004.3117195,1017.0428997
EXTCP_MTN,,,,,,304.50759741,322.64346979,317.46981236,321.9304182,346.89075738,362.36155022,372.58428617,395.85296038,413.45426874,426.53446002,440.37554035,446.93975513,458.94131484,469.0206046,493.93417374,503.22737099,533.78393578,547.86302557,568.80014912,581.33832335,611.22605111,608.53204005,620.87924382,633.40566515,649.26723508,672.20067671,703.82670392,737.01733677,737.02361814,716.86524704,722.40639764,736.15504162,741.46746478,748.38548841,746.29535375,753.31929605,754.43171383,761.68316186,776.23313192,776.78115403,784.31993486,796.45615677,819.41256178,820.25695926,853.79436333,865.90877557,884.13747479,893.54662685
EXTCP_NEC,,,,,,215.30189485,216.63338603,217.30976129,227.90970535,240.70868408,245.69804475,252.96109438,265.43475645,281.09468903,286.45235369,285.68659899,282.80115294,283.87805518,287.11122848,291.28245098,292.57268206,296.3754242,299.422114,305.51236982,311.56820777,319.64033482,324.60525705,328.02118623,338.16883267,342.21026503,350.30764375,341.0981014,351.34524912,336.20603571,326.49468515,337.89284674,331.49440852,329.11497027,332.48423874,328.72181123,329.23394,321.86230339,316.32361386,325.02560855,313.58320597,305.59093224,311.77707981,313.67446055,305.01175918,305.7340874,311.6728081,313.18033671,312.83643151
EXTCP_PAC,,,,,,757.18535709,785.7630535,750.37450828,748.88550175,801.86600972,808.12135788,811.20938954,840.49146132,882.92224041,912.4157844,945.54927501,945.26814781,944.48175043,946.70327526,947.36872529,949.81581115,964.46404774,998.37564147,1000.8574575,1044.9884392,1068.0396948,1019.5660421,974.99277005,1004.2632058,1031.8142868,1052.3122,1085.0989809,1092.2570465,1105.6709921,1088.6591152,1082.0186524,1103.6659233,1088.9708659,1100.9757865,1101.5356522,1091.9191726,1073.9926258,1093.862803,1080.975252,1073.5229946,1059.8364182,1067.352707,1093.4064465,1060.3234083,1080.2717896,1080.539915,1092.6759962,1092.6681367
EXTCP_SAC,,,,,,1027.47767,1052.9659193,1043.020282,1082.1987338,1141.3123519,1190.7598544,1231.6471388,1289.0564773,1358.8248016,1423.8696786,1460.3866311,1495.4286926,1510.4827402,1595.7053626,1623.1130107,1700.3361647,1747.0613358,1769.8186033,1875.4901569,1886.2411665,1964.1197939,1973.7662794,2069.5275153,2093.2602505,2125.7538578,2186.717619,2180.2400685,2239.6998249,2194.2195851,2146.8667675,2261.4569702,2194.9236388,2133.1229676,2156.2836058,2207.2082332,2234.3468824,2229.9975111,2193.7450143,2288.7414552,2277.235546,2215.610126,2283.01762,2363.1113047,2327.79725,2397.6399946,2444.826345,2459.9569041,2498.7732384
EXTCP_US,,,,,,5722.5382514,5882.4735974,5716.277674,5893.0262247,6245.3453387,6367.0516491,6489.7343888,6732.2526548,7043.8865982,7251.5324167,7431.6566167,7567.1316164,7550.1788143,7839.6228493,8039.8982575,8255.5796957,8473.0246421,8618.1107372,8943.0979561,9074.2111782,9348.1264152,9299.8852165,9494.4274273,9571.8753048,9692.5669099,10030.050737,10054.572184,10313.864964,10202.089153,9854.2332299,10287.236622,10273.551159,10094.671569,10205.117337,10314.247298,10298.609299,10279.949822,10200.975288,10573.110323,10441.508143,10157.580546,10427.052738,10759.367296,10614.392757,10861.698994,11148.409244,11437.555151,11808.926959
EXTCP_WNC,,,,,,415.90670877,409.50641007,405.25192788,428.93980433,456.95348321,462.99591521,460.61825945,476.22945943,502.05316722,505.71796789,517.5165191,539.03616954,520.51559406,552.96087894,570.48944239,594.70036529,611.56396349,626.97128236,652.49123074,652.45110266,681.6349363,691.36136061,711.20900801,714.24032708,713.19698361,757.17147671,768.35950142,794.40254247,794.6451535,761.36217573,805.2401074,806.28911548,802.47425634,815.19738088,825.14478923,807.68693877,806.7076206,809.96408795,845.14462222,829.69184419,807.62556609,838.30940304,865.23494852,860.06367458,866.46098639,901.55998817,915.24577753,929.4068337
EXTCP_WSC,,,,,,798.93665039,815.94942971,817.87622237,834.21157375,899.67465335,914.62268631,907.13444647,918.18870684,951.13454639,968.61692738,1016.7009697,1021.6198816,1014.3036688,1068.5965934,1101.5709817,1129.2267736,1184.6656292,1218.6638048,1295.9108819,1278.4275598,1339.1564907,1326.4098483,1348.0598959,1353.3985714,1352.3670848,1401.4231699,1429.4052027,1440.1194767,1445.2294321,1429.4210633,1505.6918031,1562.2159318,1519.2214893,1565.0339566,1613.5665947,1621.4120084,1633.3865052,1642.9161345,1733.6512988,1740.7148112,1705.3012651,1752.4260359,1887.7391676,1933.7615947,1974.7752214,2067.6786592,2258.6900658,2507.2829945
EXTCPUS,4.7865496631,5.068978399,5.3379759234,5.5285534245,5.6742438355,5.7225382512,5.8824735974,5.7162776739,5.8930262247,6.2453453388,6.3670516493,6.4897343889,6.7322526549,7.0438865985,7.2515324165,7.4316566164,7.5671316165,7.5501788141,7.8396228492,8.0398982575,8.2555796959,8.4730246421,8.618110737,8.9430979561,9.0742111778,9.3481264161,9.2998852165,9.4944274273,9.5718753037,9.6925668927,10.030050721,10.054572163,10.313864965,10.202089123,9.8542332437,10.287236626,10.273551178,10.094671546,10.205117318,10.314247306,10.298609286,10.279949808,10.200975271,10.573110304,10.441508118,10.157580549,10.427052748,10.759367313,10.614392772,10.861698994,11.148409244,11.437555151,11.808926959
FETCBUS,,,,,,,1.168254318,0.837669437,0.795792137,0.74574351,0.740822228,0.951484767,0.902750295,0.938674643,0.934080259,1.102299848,1.126476494,1.191529175,1.194359524,1.237282426,1.174238648,1.208806354,1.397698791,1.403092894,1.313385155,1.335992355,1.15643371,1.214851066,1.312522083,1.529008221,1.4066466878,1.4194894465,1.3065440594,1.124935828,0.89664349545,0.94309350785,0.87584599973,0.74116337465,0.74175506603,0.68983061869,0.65709738311,0.64248075637,0.69910632972,0.68616838634,0.63078050623,0.57161621413,0.57171163644,0.39324603437,0.39141251044,0.40872581634,0.41293429585,0.3381376,0.302853
FETCPUS,,,,,,,0.5722630137,0.41031780822,0.38897260274,0.36402185792,0.36061917808,0.46517534247,0.4425890411,0.45862295082,0.45943287671,0.53645479452,0.54529589041,0.5783442623,0.57987945205,0.60255068493,0.57158630137,0.59170491803,0.6851260274,0.69014246575,0.64370410959,0.65830054645,0.56946575342,0.60152054795,0.64902739726,0.75584972678,0.69773067123,0.70016088493,0.64360465753,0.55226410109,0.44612795342,0.46894246575,0.43714507123,0.37105486885,0.37565496986,0.34734254521,0.33119452603,0.32301928689,0.3513728274,0.34585179726,0.31719460548,0.28640636339,0.28724681644,0.19868925753,0.19815443836,0.20487243989,0.2094131074,0.1705368989,0.15274244027
FETCZUS,,,,,,,5.5925998754,5.5933417757,5.6052309982,5.5960488853,5.6272391336,5.6034621912,5.5871825791,5.5919117229,5.5691298599,5.6287165318,5.659627959,5.6293455052,5.6428748396,5.625663533,5.6277574398,5.581362642,5.5888431025,5.5695848152,5.5901938128,5.5451737542,5.5648868047,5.533715842,5.540907707,5.5284236326,5.5279794349,5.5533210212,5.561257975,5.5652829487,5.5055775761,5.5081723553,5.4872004876,5.4572245764,5.4089779258,5.4412553965,5.4362624236,5.43418583,5.4505279606,5.4349373569,5.4491851163,5.4527791117,5.4546810192,5.4185077274,5.4077009823,5.4516097389,5.4363249826,5.4323001667,5.432246
FFCECONB,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12764363876,0.11570333,0.11105808,0.12854976,0.12248079,0.1167216,0.11868486,0.11582292,0.11987863,0.1275266,0.12684405,0.14669841,0.1535012,0.14949977,0.14016221,0.14793543,0.17480444,0.15494993,0.15369612,0.14650924,0.13388087,0.14216486,0.13349187,0.13379936,0.13873083,0.1780422,0.1872753
FFCGCONB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3442438128,2.2564104,2.14463273,2.29232899,2.1160807,2.12269763,1.99925204,1.7969309,1.74468596,1.84677113,1.86245516,1.9382473,1.95044256,1.91314015,1.92689603,1.85850359,1.85872306,1.95222055,1.90707746,1.95286755,1.87592491,1.87343013,1.87391982,1.879700892,1.842390206,1.8375604,1.8532715
FFEPCONB,,,,,,,,,,,,,,,,,,,,,,,,,,,26.386717711,26.562375672,26.69448908,27.186974014,28.089244645,27.570809839,28.55237334,27.881964078,25.707185778,27.105682588,26.113468346,25.400381934,25.160951326,25.148692645,24.407949706,23.609839772,22.466716065,23.309660555,22.100587759,20.48072544,21.352812949,21.659266224,20.831239133,21.104443155,21.424099365,21.584023,22.013472
FFEPGEN_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2766.7731641,2675.3223918,2656.4040664,2625.5031801,2633.373832,2610.0559837,2536.6294209,2420.0172904,2538.7200009,2459.8467041,2309.5084429,2390.6558346,2434.0612294,2389.1520511,2431.0202509,2449.1460001,2463.7667,2504.359
FFTCCO2,4427.9091741,4694.5314312,4835.1120589,4884.0276914,4949.8485011,4756.0999931,4636.411958,4404.4450436,4383.9414532,4612.856715,4605.3538738,4615.662055,4775.5503212,4998.2125102,5079.8298692,5031.7172056,4985.0809038,5085.0028717,5176.5131074,5252.9561333,5313.9733653,5507.740692,5578.617004,5626.1944221,5689.6057134,5878.0831153,5766.5389778,5806.903695,5874.6033605,5982.174075,5995.3690072,5917.4260886,6003.8691745,5811.1318041,5392.0338677,5582.2600704,5442.9742359,5224.4866436,5347.5378256,5402.4786204,5250.7102645,5157.3939654,5120.4327904,5266.7865797,5136.0399617,4574.2748317,4893.8805995,4937.7512284,4791.572557,4785.9863892,4873.5733372,4837.2425,4870.2968
GDPDIUS,27.79625,29.32675,31.1485,33.33925,36.104,39.37475,43.092,45.75625,47.54475,49.26175,50.8205,51.85025,53.12625,55.0025,57.159,59.30675,61.30275,62.70075,64.18875,65.55675,66.9325,68.15625,69.3375,70.1015,71.08425,72.70875,74.38475,75.49975,77.0115,79.06875,81.53725,84.0745,86.3515,87.97725,88.5565,89.6185,91.466,93.176,94.786,96.43625,97.27675,98.208,99.99975,102.28975,103.9815,105.398,110.18325,118.03475,122.389,125.4305,128.87702148,132.65623333,135.643425
